Tha Ton,Thailande,20.059960,99.361961,moto,20,99.201,19.501,98.801,0,0
Chiang Dao,Thailande,19.370252,98.962564,moto,19.370252,98.962564,19,99.201,0,0
Chiang Mai,Thailande,18.788154,98.985142,moto,18.501,98.501,18.501,99.101,0,0
Chiang Mai,Thailande,18.788154,98.985142,moto,18.788154,98.985142,19.601,98.801,0,0
Pai,Thailande,19.358324,98.441834,moto,19.358324,98.441834,19.101,98.101,0,0
Chiang Mai,Thailande,18.788154,98.985142,moto,18.601,99.301,20.101,99.401,0,0
Chiang Rai,Thailande,19.903714,99.831965,bus,19.701,100.301,20.301,100.101,0,0
Huay Xai,Laos,20.270988,100.414621,bateau,20.301,100.801,19.601,100.301,0,0
Pakbeng,Laos,19.892781,101.131897,bateau,19.892781,101.131897,20.301,102.501,0,0
Luang Prabang,Laos,19.888784,102.133198,moto,19.701,102.101,19.901,101.701,0,0
Luang Prabang,Laos,19.888784,102.133198,moto,19.888784,102.501,19.301,102.901,0,0
Phonsavan,Laos,19.460032,103.190073,moto,19.460032,103.401,20.201,103.501,0,0
Phonhong,Laos,20.203079,103.879765,moto,20.301,104.101,20.101,104.101,0,0
Hintang,Laos,20.121783,103.896330,moto,20.121783,103.896330,20.101,103.501,0,0
Viangthong,Laos,20.085477,103.370275,moto,20.001,103.001,20.801,102.801,0,0
Pakmong,Laos,20.576506,102.410903,moto,20.576506,102.410903,20.401,102.001,0,0
Oudomxay,Laos,20.683370,101.983651,moto,21.201,102.001,21.001,103.001,0,0
Dien Bien Phu,Vietnam,21.404076,103.028305,moto,21.404076,103.028305,22.801,103.001,0,0
Lai Chau,Vietnam,22.397198,103.448008,moto,22.397198,103.448008,21.601,104.501,0,0
Pho Rang,Vietnam,22.236109,104.477255,moto,22.401,104.477255,22.501,104.901,0,0
Ha Giang,Vietnam,22.828286,104.985397,moto,22.828286,104.985397,23.301,105.001,0,0
Dong Van,Vietnam,23.278312,105.362389,moto,23.101,105.701,22.901,105.501,0,0
Cho Ra,Vietnam,22.454722,105.731563,moto,22.001,106.001,21.101,106.001,0,0
HanoÃ¯ (again),Vietnam,21.201,105.801,train,21.101,105.601,23.001,104.901,0,0
Kunming,Chine,25.045119,102.712373,train,26.001,102.001,25.001,100.401,0,0
Dali,Chine,25.698550,100.161150,train,25.698550,100.161150,26.001,100.001,0,0
Lijiang,Chine,26.874440,100.233630,bus,27.101,100.301,27.001,100.001,0,0
Qiaotou,Chine,27.185290,100.054060,marchant,27.18529,100.05406,27.301,100.051,0,0
Gorge du tigre,Chine,27.301,100.201,bus,27.301,100.501,27.701,100.001,0,0
Shangrila,Chine,27.814460,99.705250,moto,28.001,99.401,27.401,99.601,0,0
Shangrila,Chine,27.814460,99.705250,bus,28.501,99.705250,28.001,102,0,0
Chengdu,Chine,30.681360,104.071340,train,30.681360,104.071340,30,104,0,0
